model,alpha,windows,mean_hausdorff_rel,median_hausdorff_rel,max_hausdorff_rel,mean_overlap,min_overlap,max_guard_req,mean_guard_req_hi,total_fs_profiles,total_fu_profiles,mean_fs_union_width,max_fs_union_width
Aggregate15,0.0,12,0.13403855828181968,0.09132129020207415,0.3997485138307742,0.6292412069915377,0.23564420573608838,0.8120691947295968,0.26030785474613727,710,0,0.3995998169212233,1.4430303486761469
CM-SPPK45,0.0,12,0.003507086564876929,0.0019117346655137671,0.009685892182746243,0.8823986761268672,0.1354727661390538,0.0557151114230254,0.00877833429297643,314,406,0.09015430108303744,0.5841724225466005
CM-SPPK45,0.25,12,0.005434253589090755,0.003965110828867175,0.015671691442222052,0.8578183469363739,0.0,0.0553208568290097,0.008321971801638343,173,272,0.05339718949061201,0.3711540896102834
CM-SPPK45,0.5,12,0.005239376623284547,0.002553584028576888,0.01741324445921139,0.8579035983163603,0.0,0.0553208568290097,0.008306992886671069,134,242,0.0362151782520577,0.2458246044235275
CM-SPPK45,0.75,12,0.005259032360664886,0.0025471584133482323,0.017475715335801827,0.8504442172549962,0.0,0.0553208568290097,0.008301287005648963,100,195,0.0276069687806077,0.17071268253381433
CM-SPPK45,1.0,12,0.00485759735404443,0.002541287367854445,0.01316881965941551,0.8387746900992511,0.0,0.0553208568290097,0.007139114558099946,78,162,0.018469093051564394,0.12277776752222946
SPPK35,0.0,12,0.014403280129548156,0.00600854548979558,0.09028773688052931,0.8011187697286716,0.2913672979365403,0.1483831065198133,0.02688185838911525,501,219,0.15810320130827282,0.6477927839126147
SPPK45,0.0,12,0.005512568973361173,0.001704742919087649,0.026610587053788978,0.9280721599932548,0.7398059319389862,0.0622858580303593,0.009772616878450517,242,478,0.09546836601110394,0.5617865496752739
