window_id,window_timestamp,sample_second,sample_timestamp,membership,mean_GHI,spatial_cv,FOM_crossings,Aggregate15_crossings,SPPK35_crossings,SPPK45_crossings,CM-SPPK45_crossings,FOM_Xg,FOM_SCR,Aggregate15_Xg,Aggregate15_SCR,SPPK35_Xg,SPPK35_SCR,SPPK45_Xg,SPPK45_SCR,CM-SPPK45_Xg,CM-SPPK45_SCR,Aggregate15_margin_rel_error,Aggregate15_signed_rel_shift,Aggregate15_required_guard,SPPK35_margin_rel_error,SPPK35_signed_rel_shift,SPPK35_required_guard,SPPK45_margin_rel_error,SPPK45_signed_rel_shift,SPPK45_required_guard,CM-SPPK45_margin_rel_error,CM-SPPK45_signed_rel_shift,CM-SPPK45_required_guard
W01,2010-07-04 08:24:00,-1,2010-07-04 08:24:00,1.0,488.1458983333333,0.0147511963807881,1,1,1,1,1,1.5125116188664178,0.6611519458934604,1.512775716081878,0.6610365233717671,1.5054028532725805,0.6642740166368821,1.5115247203067368,0.6615836225272372,1.5025657647352222,0.6655282740161573,0.00017457790513997207,-0.00017457790513997207,0.00017460838790661626,0.004722168274348348,0.004722168274348348,0.0,0.0006529159241805971,0.0006529159241805971,0.0,0.006619247133550887,0.006619247133550887,0.0
W02,2010-07-14 09:04:00,-1,2010-07-14 09:04:00,1.0,664.8147316666666,0.0155431343654232,1,1,1,1,1,1.061828864348798,0.9417713471306728,1.0621378953916192,0.9414973369642288,1.0641524069670814,0.939715019627761,1.0600634139950698,0.9433397915614234,1.0601457918890334,0.9432664899967561,0.00029095190385530767,-0.00029095190385530767,0.00029103658150275713,0.002183467897145963,-0.002183467897145963,0.00218824586173616,0.0016654195686982565,0.0016654195686982565,0.0,0.0015875858515324026,0.0015875858515324026,0.0
W03,2010-07-24 15:03:00,-1,2010-07-24 15:03:00,1.0,837.7936083333333,0.0152078584748991,1,1,1,1,1,0.79822904380932,1.2527732581964015,0.7985162384423146,1.2523226853228744,0.8000120987679694,1.2499810959609423,0.7973357934076695,1.2541767323980029,0.7978615589586123,1.2533502695696024,0.00035966035400192276,-0.00035966035400192276,0.0003597897561129493,0.0022287849913711355,-0.0022287849913711355,0.002233763570090419,0.001120293869955269,0.001120293869955269,0.0,0.00046058723669717416,0.00046058723669717416,0.0
W04,2010-07-31 14:28:00,-1,2010-07-31 14:28:00,1.0,1013.9101166666668,0.0154622096034875,1,1,1,1,1,0.6281419496997539,1.591996841602429,0.628422525109309,1.5912860536405156,0.6292818194359694,1.5891131272413184,0.6278728552470072,1.5926791413949513,0.6281574011316429,1.5919576816232244,0.000446475736219476,-0.000446475736219476,0.00044667516584295797,0.0018113819611652593,-0.0018113819611652593,0.0018146690198934667,0.00042858112195465203,0.00042858112195465203,0.0,2.459802568777203e-05,-2.459802568777203e-05,2.459863076564872e-05
W05,2010-07-31 10:25:00,-1,2010-07-31 10:25:00,1.0,487.69126166666666,0.0845135213647385,1,1,1,1,1,1.5129863635248424,0.6609444897244644,1.5209475765322302,0.6574848570915285,1.5056988790992811,0.6641434179709336,1.5124361011206617,0.6611849580018854,1.502310288383322,0.6656414508590818,0.005234376996437584,-0.005234376996437584,0.005261919868755793,0.004839934814802271,0.004839934814802271,0.0,0.0003638252245983242,0.0003638252245983242,0.0,0.007106438146682326,0.007106438146682326,0.0
W06,2010-07-14 09:16:00,-1,2010-07-14 09:16:00,1.0,661.6569183333332,0.0842968729734937,1,1,1,1,1,1.0669356266844863,0.9372636689502164,1.0787822525541022,0.9269711265942882,1.0689143354282968,0.9355286638562257,1.0657116766619734,0.9383400988269212,1.0656863966048638,0.9383623579937476,0.010981480128698928,-0.010981480128698928,0.011103412027236859,0.00185113874725773,-0.00185113874725773,0.0018545718170077663,0.0011484813850839437,0.0011484813850839437,0.0,0.0011722304831913721,0.0011722304831913721,0.0
W07,2010-07-30 14:36:00,-1,2010-07-30 14:36:00,1.0,836.6786500000001,0.0812455185025326,1,1,1,1,1,0.7987242350616273,1.2519965666533743,0.8071233778393396,1.2389679539167717,0.8011136610379709,1.2482623236062909,0.7981121958644701,1.252956670981398,0.798422822166518,1.252469208340642,0.010406268741957048,-0.010406268741957048,0.010515697920527423,0.0029826304213159682,-0.0029826304213159682,0.002991553118654622,0.0007668585949800466,0.0007668585949800466,0.0,0.00037751037012112576,0.00037751037012112576,0.0
W08,2010-07-02 13:03:00,-1,2010-07-02 13:03:00,1.0,1009.6289066666666,0.0843001110104042,1,1,1,1,1,0.6307030264030159,1.5855322681787882,0.6410531896724404,1.5599329604942314,0.6311655731752474,1.5843703181864504,0.6306360352174813,1.5857006960522637,0.6306381484709654,1.5856953824068256,0.016145560830472028,-0.016145560830472028,0.016410517844591466,0.0007328453766964893,-0.0007328453766964893,0.0007333828329150194,0.00010622796953163594,0.00010622796953163594,0.0,0.00010287663727259755,0.00010287663727259755,0.0
W09,2010-07-25 12:31:00,-1,2010-07-25 12:31:00,1.0,486.4309133333333,0.2971438011258147,1,1,1,1,1,1.50551693028235,0.664223682833282,1.5934434222239815,0.6275717016700173,1.5171283661576171,0.6591400057548645,1.5126569192839183,0.6610884380004644,1.4937303088706708,0.669464892063445,0.05518017816968479,-0.05518017816968479,0.058402858296081384,0.007653561909645834,-0.007653561909645834,0.007712590700052369,0.00472016417638732,-0.00472016417638732,0.004742549790010875,0.007890729231162297,0.007890729231162297,0.0
W10,2010-07-19 15:40:00,-1,2010-07-19 15:40:00,1.0,664.0659333333334,0.3032771285775719,1,1,1,1,1,1.0497775985177968,0.952582719817913,1.2247419019570907,0.8164985605555246,1.0586898099255657,0.9445637339895695,1.0517772295402248,0.9507716766573672,1.0510209683864098,0.951455803527174,0.1428581019067835,-0.1428581019067835,0.16666797204124917,0.0084181516854267,-0.0084181516854267,0.008489618582404823,0.001901192539889851,-0.001901192539889851,0.0019048139579767032,0.001183011477422613,-0.001183011477422613,0.0011844126511828534
W11,2010-07-30 13:07:00,-1,2010-07-30 13:07:00,1.0,838.0551566666667,0.2896612101789451,1,1,1,1,1,0.7871654585266821,1.2703809461757571,0.9031141425043697,1.1072797478588499,0.8071987853043717,1.2388522111352391,0.7971476804082728,1.2544726963112192,0.7940036754033266,1.2594400139168553,0.12838762955937966,-0.12838762955937966,0.1472989988594089,0.024818331174935593,-0.024818331174935593,0.025449956626889536,0.012522424798976028,-0.012522424798976028,0.012681224478871655,0.008612323958287815,-0.008612323958287815,0.008687140425906792
W12,2010-07-23 12:51:00,-1,2010-07-23 12:51:00,1.0,1014.9871116666668,0.2968221805021437,1,1,1,1,1,0.6169605858558,1.6208490832730866,0.8398735287721313,1.1906554567352166,0.6083709726572109,1.6437339139181024,0.6131683920980984,1.630873366740688,0.6177035455033907,1.6188995631959033,0.2654125118602356,-0.2654125118602356,0.36130823917564125,0.014119038521959615,0.014119038521959615,0.0,0.006184587800955876,0.006184587800955876,0.0,0.0012027770489566603,-0.0012027770489566603,0.0012042254637061323
