baseline,mean_hausdorff_rel,max_hausdorff_rel,mean_guard_summary,max_guard_summary,mean_n
Crisp minute mean,0.003028326300449202,0.008612323956533436,0.0009250314314102275,0.0086871404241217,1.0
Empirical 5-95%,0.004611662937469962,0.014032450640691141,0.007264446957322605,0.044849838363534206,60.0
Fuzzy alpha=0.5,0.005239376623284547,0.01741324445921139,0.008306992886671069,0.0553208568290097,31.333333333333332
Fuzzy alpha=1,0.00485759735404443,0.01316881965941551,0.007139114558099946,0.0553208568290097,20.0
Observed support,0.003507086564876929,0.009685892182746243,0.00877833429297643,0.0557151114230254,60.0
